nama,fasilitas,harga
Kost J Residence VIP Cidadap Bandung 1YB7SM67,6 x 7 meter+Tidak termasuk listrik+AC+Kasur+Dispenser+Meja Rias+TV+Lemari Baju+Ventilasi+Bantal+Cermin+Jendela+K. Mandi Dalam+Kloset Duduk+Wastafel+Shower+Air panas+WiFi+Kulkas+R. Tamu+R. Makan+R. Santai+Dapur+Dispenser+Balcon+CCTV+Jual Makanan+Parkir Mobil+Parkir Motor+Parkir Sepeda+Parkir Motor & Sepeda,5508000
Kost J Residence Executive Cidadap Bandung 7N07PND7,5 x 4.5 meter+Tidak termasuk listrik+AC+Kasur+TV+Meja Rias+Lemari Baju+Ventilasi+Bantal+Cermin+Jendela+Wastafel+K. Mandi Dalam+Kloset Duduk+Wastafel+Shower+Air panas,4647000
Kost ERDE Housing Coblong Bandung 219586ER,3.5 x 3.5 meter+Tidak termasuk listrik+Kasur+Meja+Lemari Baju+Ventilasi+Kursi+Cleaning service+Bantal+Jendela+K. Mandi Dalam+Kloset Jongkok+Ember mandi,1350000
Kost Ibu Aat I Tipe A Sukasari Bandung 63Z6GAW7,3 x 4 meter+Tidak termasuk listrik+Kasur+Bantal+Cermin+Jendela+Guling+Kloset Jongkok+K. Mandi Luar+Ember mandi+WiFi+Mesin Cuci+R. Tamu+R. Santai+Dapur+Jemuran+K. Mandi Luar,800000
Kost King Unpar Cidadap Bandung 254KU,3 x 3 meter+Tidak termasuk listrik+Kasur+Meja+Lemari Baju+Kursi+K. Mandi Dalam+Kloset Duduk+Wastafel+Ember mandi+Shower+Air panas+WiFi+Kulkas+R. Tamu+R. Jemur+Dapur+Dispenser+Balcon,1600000
Kost Mainroad Ciumbuleuit 113 Ekslusive Cidadap Bandung 2P2RPR15,3 x 5 meter+Termasuk listrik+Kasur+Meja+Lemari Baju+Ventilasi+Kursi+Wastafel+K. Mandi Dalam+Kloset Duduk+Wastafel+Shower+Air panas+WiFi+Penjaga Kos+R. Jemur+Pengurus Kos+Parkir Mobil+Parkir Motor+Parkir Sepeda,2000000
Kost Toyati 1 Sukasari Bandung U85A7BL1,3 x 3 meter+Termasuk listrik+Kasur+Meja+Lemari Baju+Ventilasi+Bantal+Cermin+Jendela+Kloset Jongkok+K. Mandi Luar+Ember mandi+WiFi+Penjaga Kos+R. Jemur+R. Santai+Dapur+Balcon+CCTV+Gazebo+Jemuran+K. Mandi Luar,700000
Kost Genah I Tipe A Cidadap Bandung MQ223U7L,3 x 3 meter+Termasuk listrik+Kasur+Meja+Lemari Baju+Ventilasi+Bantal+Jendela+Kloset Jongkok+K. Mandi Luar+Ember mandi+WiFi+Dapur+Dispenser+Jemuran+K. Mandi Luar+Pengurus Kos+Parkir Motor,650000
Kost Edelweis Tipe A1 Cidadap Bandung QQJZ2169,3 x 3 meter+Tidak termasuk listrik+Kasur+Meja+Lemari Baju+Kloset Duduk+Kloset Jongkok+K. Mandi Luar+Ember mandi+Bak mandi+R. Tamu+R. Jemur+Dapur+K. Mandi Luar+Parkir Motor & Sepeda,600000
Kost Bukit Sari Cidadap Bandung 67F3JKZ1,3 x 3 meter+Termasuk listrik+Kasur+Meja+Ventilasi+Jendela+Kursi+Kloset Duduk+Kloset Jongkok+K. Mandi Luar+Ember mandi+WiFi+Kulkas+Laundry+Penjaga Kos+R. Tamu+R. Jemur+R. Makan+R. Santai+Dapur+Balcon+Parkir Motor,800000
